Data,ISPB,Nome,NaturezaUsuario,TipoChave,qtdChaves
2024-12-31,31804966,SICOOB COOPERMAIS,PJ,CNPJ,11412
2024-12-31,31804966,SICOOB COOPERMAIS,PF,Aleatória,14818
2024-12-31,31804966,SICOOB COOPERMAIS,PF,e-mail,7688
2024-12-31,31804966,SICOOB COOPERMAIS,PF,Celular,15542
2024-12-31,25387655,"CC CREDIVALE LTDA, - SICOOB CREDIVALE",PJ,CNPJ,3901
2024-12-31,25387655,"CC CREDIVALE LTDA, - SICOOB CREDIVALE",PJ,Aleatória,838
2024-12-31,25387655,"CC CREDIVALE LTDA, - SICOOB CREDIVALE",PJ,e-mail,590
2024-12-31,25387655,"CC CREDIVALE LTDA, - SICOOB CREDIVALE",PF,Celular,4831
2024-12-31,25387655,"CC CREDIVALE LTDA, - SICOOB CREDIVALE",PJ,Celular,1175
2024-12-31,25387655,"CC CREDIVALE LTDA, - SICOOB CREDIVALE",PF,CPF,4294
2024-12-31,25387655,"CC CREDIVALE LTDA, - SICOOB CREDIVALE",PF,Aleatória,3758
2024-12-31,25387655,"CC CREDIVALE LTDA, - SICOOB CREDIVALE",PF,e-mail,2371
2024-12-31,31804966,SICOOB COOPERMAIS,PJ,Aleatória,4126
2024-12-31,31804966,SICOOB COOPERMAIS,PJ,Celular,2416
2024-12-31,31804966,SICOOB COOPERMAIS,PF,CPF,18977
2024-12-31,31804966,SICOOB COOPERMAIS,PJ,e-mail,2498
2024-12-31,38460917,MACREBANK,PJ,Celular,9
2024-12-31,38460917,MACREBANK,PJ,CNPJ,14
2024-12-31,38460917,MACREBANK,PF,Aleatória,2366
2024-12-31,38460917,MACREBANK,PJ,e-mail,9
2024-12-31,20520298,ADIQ,PF,Celular,1
2024-12-31,20520298,ADIQ,PF,Aleatória,244
2024-12-31,20520298,ADIQ,PF,e-mail,14
2024-12-31,20520298,ADIQ,PJ,Aleatória,1177
2024-12-31,38460917,MACREBANK,PJ,Aleatória,91
2024-12-31,38460917,MACREBANK,PF,Celular,258
2024-12-31,38460917,MACREBANK,PF,CPF,167
2024-12-31,38460917,MACREBANK,PF,e-mail,267
2024-12-31,38320462,"V3 IP S,A,",PF,CPF,249
2024-12-31,38320462,"V3 IP S,A,",PJ,e-mail,1
2024-12-31,38320462,"V3 IP S,A,",PF,e-mail,329
